1	New York City	New York City	NYC,NewYork,Нью-Йорк	1.111	-1.111	A	AAAA	US	GB,UA, 	FOO	BAR	BAZ	FOOBAR	111111	111	11	America/New_York	2021-01-01
2	London	London	Landan,Лондон, 	2.222	-2.222	B	BBBB	GB		FOO	BAR	BAZ	FOOBAR	222222	222	22	Europe/London	2021-01-02
v	Foo	Bar	Baz	3.333	-3.333	C	CCCC	US		FOO	BAR	BAZ	FOOBAR	333333	333	33	America/New_York	2021-01-03
4	Foo	Bar	Baz	v	-4.444	C	CCCC	US		FOO	BAR	BAZ	FOOBAR	333333	333	33	America/New_York	2021-01-03
5	Foo	Bar	Baz	5.555	v	C	CCCC	US		FOO	BAR	BAZ	FOOBAR	333333	333	33	America/New_York	2021-01-03
6	Foo	Bar	Baz	6.666	-6.666	C	CCCC	US		FOO	BAR	BAZ	FOOBAR	v	333	33	America/New_York	2021-01-03
7	Foo	Bar	Baz	6.666	-6.666	C	CCCC	US		FOO	BAR	BAZ	FOOBAR	333333	v	33	America/New_York	2021-01-03
8	Foo	Bar	Baz	6.666	-6.666	C	CCCC	US		FOO	BAR	BAZ	FOOBAR	333333	333	v	America/New_York	2021-01-03
9	Foo	Bar	Baz	6.666	-6.666	C	CCCC	US		FOO	BAR	BAZ	FOOBAR	333333	333	33	America/New_York	v
#10	Foo	Bar	Baz	6.666	-6.666	C	CCCC	US		FOO	BAR	BAZ	FOOBAR	333333	333	33	America/New_York	2021-01-03
11	Foo	Bar

